PrimarySupervisor,CreatedDate,JobType,Supervisee,Supervisor,Creator,Term,Positionc,Hour,Form_ID,start,endD,note
,2020-02-19 13:31:07.237000000,Primary,B00735027,B00653412,ashb,Summer 2020,S19111,160,22406,2020-05-04 00:00:00,,Not on list -AB
,2020-02-20 13:10:50.387000000,Primary,B00711805,B00670814,davisrosenbaums,Summer 2020,S55224,200,22435,2020-05-04 00:00:00,,Not on list -Ab
,2020-02-21 12:12:50.917000000,Primary,B00735027,B00670814,davisrosenbaums,Summer 2020,S55223,100,22451,2020-05-04 00:00:00,,Not on list -AB
,2020-02-24 13:38:05.970000000,Primary,B00718271,B00739731,obrienj,Summer 2020,S61134,440,22487,2020-05-04 00:00:00,,Not on list -AB
,2020-02-28 13:52:00.470000000,Primary,B00720160,B00670814,davisrosenbaums,Summer 2020,S55224,280,22628,2020-05-04 00:00:00,,Not on list -AB
,2020-03-07 21:17:06.147000000,Primary,B00751582,B00038543,peacha,Summer 2020,S35134,80,22650,2020-06-08 00:00:00,,Not on list -AB
,2020-03-09 10:31:53.987000000,Primary,B00747335,B00396920,riceh,Fall 2020,S33342,10,22652,2020-08-11 00:00:00,,
,2020-03-09 12:44:10.327000000,Primary,B00726674,B00758911,saderholmk,Summer 2020,S05378,160,22653,2020-05-04 00:00:00,,Not on list -AB
,2020-03-09 12:56:26.323000000,Primary,B00721286,B00762403,cornettt2,Fall 2020,S19313,12,22654,2020-08-11 00:00:00,,
,2020-03-09 13:11:28.127000000,Primary,B00751527,B00762403,cornettt2,Summer 2020,S19313,320,22662,2020-06-08 00:00:00,,Not on list -AB
B00687855,2020-03-09 15:56:09.653000000,Secondary,B00744021,B00720318,wrayj,Fall 2020,S67311,5,22665,2020-08-18 00:00:00,,
,2020-03-10 09:18:58.547000000,Primary,B00751514,B00364667,reedd,Fall 2020,S39408,10,22673,2020-08-18 00:00:00,,
,2020-03-10 11:04:45.283000000,Primary,B00728940,B00038543,peacha,Summer 2020,S35135,80,22676,2020-05-04 00:00:00,,Not on list -AB
,2020-03-10 11:20:27.890000000,Primary,B00731785,B00733494,carringers,Fall 2020,S83213,15,22677,2020-08-18 00:00:00,,Remote pending - sw
